1,43831,85893,
2,65004,85497,
3,96824,85510,
4,127879,85899,
5,103084,96630,
6,122452,94947,
7,122432,98932,
8,122426,108357,
9,122346,113313,
10,87214,123167,
11,101631,111419,
12,103947,124080,
13,98313,131511,
14,79728,111028,
15,85814,137246,
16,76237,113967,
17,55840,137017,
18,31475,130477,
19,31482,94255,
20,32227,111457,
21,55733,111028,
22,67920,111741,
23,85927,116551,
24,31482,122720,
25,92078,111182,
26,37837,137229,
27,97809,137249,
28,111451,87226,
29,52522,85517,
30,72207,116461,
31,43919,111899,
32,61823,137241,
33,86077,85507,
34,67483,111186,
35,67721,137014,
36,43891,111184,
37,31463,100737,
