1,6573,63328,
2,4045,63615,
3,4162,71670,
4,4048,87385,
5,4269,95769,
6,4130,118827,
7,4252,130950,
8,4122,143245,
9,27829,131343,
10,29034,128945,
11,23111,125339,
12,17269,118384,
13,23062,116869,
14,38679,116883,
15,46438,116869,
16,51981,116902,
17,17647,108508,
18,23066,108654,
19,33436,108749,
20,46493,108856,
21,51554,107849,
22,17820,105512,
23,20538,105513,
24,36191,105510,
25,48961,105518,
26,20502,97161,
27,30910,97145,
28,49064,97145,
29,51838,97153,
30,17884,94017,
31,35834,93916,
32,43943,93914,
33,52044,93814,
34,17897,88902,
35,25705,88896,
36,41140,89123,
37,43848,88923,
38,17665,86161,
39,23038,86196,
40,35967,86334,
41,46548,86320,
42,17651,81075,
43,36002,81198,
44,41265,81279,
45,52448,81261,
46,25800,78073,
47,36080,77960,
48,46482,78048,
49,51998,78213,
50,17960,70293,
51,25767,70282,
52,36130,70394,
53,46472,70406,
54,60340,119089,
55,62850,107397,
56,75942,105948,
57,73179,99288,
58,62915,95078,
59,63209,85597,
60,62935,80085,
61,63770,79062,
62,62200,83096,
63,17898,68966,
64,19538,63323,
65,19647,62179,
66,355883,49106,
67,27866,63307,
68,28907,63328,
69,27821,52150,
70,28623,51164,
71,36078,69068,
72,37066,63200,
73,37299,62204,
74,46474,69052,
75,45242,63451,
76,45800,62079,
77,46397,63548,
78,51752,69016,
79,62944,64077,
80,62924,51260,
81,63797,51176,
82,69333,62927,
83,69456,64229,
84,66345,85270,
85,76024,64233,
86,82722,63053,
87,80416,82473,
88,83304,87309,
89,86781,64234,
90,93461,63045,
91,97516,78718,
92,99886,64259,
93,103191,77991,
94,105267,62201,
95,105261,52187,
96,107280,52327,
97,107514,63844,
98,106882,78659,
99,110899,78589,
100,112598,63250,
101,120402,85750,
102,123000,62257,
103,122651,63259,
104,127491,63375,
105,127338,79494,
106,126836,87051,
107,128652,79466,
108,133362,62251,
109,133003,63289,
110,138859,86907,
111,143299,63402,
112,148723,79373,
113,148620,63650,
114,148955,52345,
115,160559,63142,
116,160950,64281,
117,152882,72114,
118,160210,81250,
119,339376,48598,
120,166644,63668,
121,170730,79477,
122,171933,79668,
123,172062,63530,
124,180078,74637,
125,182288,64146,
126,192005,79789,
127,191785,62919,
128,191786,51903,
129,193566,62573,
130,375743,46631,
131,193308,95520,
132,193191,106884,
135,212073,46346,
136,217512,62626,
137,217984,71598,
138,217781,79889,
139,218130,87484,
140,218993,107257,
141,9842,39677,
142,20669,39831,
143,22902,39680,
144,27053,39832,
145,30143,39686,
146,39124,39843,
147,42557,39843,
149,48133,39843,
150,52535,39694,
151,60802,39862,
152,64621,39710,
153,68673,39706,
154,72249,39858,
155,82512,39865,
156,85810,39716,
157,87979,39863,
158,104382,43038,
159,122655,46346,
160,133277,46346,
161,143046,46346,
170,230241,40682,
174,246819,41488,
178,281506,41462,
179,284914,40674,
181,297912,40671,
182,302243,41361,
183,305874,40672,
185,315893,41481,
186,318985,40682,
187,322756,41486,
188,328257,51519,
189,328259,62540,
190,328902,70962,
191,328120,79541,
192,328900,87431,
193,305469,87545,
194,304680,85760,
195,299897,85793,
196,298144,90407,
197,283721,95765,
198,277110,91235,
199,277119,91231,
200,277163,94625,
201,270623,88736,
202,267072,86291,
