1,43831,85893,
2,65004,85497,
3,96824,85510,
4,127877,85898,
5,103083,96629,
6,122451,94949,
7,122429,98932,
8,122426,108358,
9,122345,113314,
10,87208,123201,
11,101667,111261,
12,103947,124081,
13,98395,131605,
14,79728,111028,
15,85812,137249,
16,76238,113968,
17,55839,137018,
18,31474,130478,
19,31482,94255,
20,32227,111457,
21,55733,111028,
22,67920,111741,
23,85930,116553,
24,31480,122720,
25,92078,111182,
26,37834,137231,
27,97809,137250,
28,111450,87225,
29,52522,85517,
30,72205,116463,
31,43919,111899,
32,61824,137240,
33,86077,85507,
34,67483,111186,
35,67720,137015,
36,43891,111184,
37,31463,100737,
